Segment: 1 | Count: 250 | Total Reward: 28 | Count Reward Weak: 20 | Count Reward Moderate: 20 | Count Reward Strong: 8
Segment: 2 | Count: 250 | Total Reward: 21.58 | Count Reward Weak: 37 | Count Reward Moderate: 11 | Count Reward Strong: 2
Segment: 3 | Count: 250 | Total Reward: 46.7 | Count Reward Weak: 24 | Count Reward Moderate: 34 | Count Reward Strong: 16
Segment: 4 | Count: 250 | Total Reward: 72.6 | Count Reward Weak: 47 | Count Reward Moderate: 27 | Count Reward Strong: 39
Segment: 5 | Count: 250 | Total Reward: 45.32 | Count Reward Weak: 25 | Count Reward Moderate: 21 | Count Reward Strong: 23
Segment: 6 | Count: 250 | Total Reward: 74.62 | Count Reward Weak: 42 | Count Reward Moderate: 28 | Count Reward Strong: 42
Segment: 7 | Count: 250 | Total Reward: 83.63 | Count Reward Weak: 50 | Count Reward Moderate: 39 | Count Reward Strong: 41
Segment: 8 | Count: 250 | Total Reward: 82.62 | Count Reward Weak: 49 | Count Reward Moderate: 35 | Count Reward Strong: 43
Segment: 9 | Count: 250 | Total Reward: 88.97 | Count Reward Weak: 42 | Count Reward Moderate: 33 | Count Reward Strong: 53
Segment: 10 | Count: 250 | Total Reward: 45.63 | Count Reward Weak: 30 | Count Reward Moderate: 19 | Count Reward Strong: 23
Segment: 11 | Count: 250 | Total Reward: 50.94 | Count Reward Weak: 45 | Count Reward Moderate: 27 | Count Reward Strong: 18
Segment: 12 | Count: 250 | Total Reward: 89.27 | Count Reward Weak: 50 | Count Reward Moderate: 31 | Count Reward Strong: 52
Segment: 13 | Count: 250 | Total Reward: 79.62 | Count Reward Weak: 46 | Count Reward Moderate: 32 | Count Reward Strong: 43
Segment: 14 | Count: 250 | Total Reward: 93.29 | Count Reward Weak: 50 | Count Reward Moderate: 37 | Count Reward Strong: 52
Segment: 15 | Count: 250 | Total Reward: 86.97 | Count Reward Weak: 45 | Count Reward Moderate: 36 | Count Reward Strong: 48
Segment: 16 | Count: 250 | Total Reward: 98.29 | Count Reward Weak: 49 | Count Reward Moderate: 36 | Count Reward Strong: 58
Segment: 17 | Count: 250 | Total Reward: 96.69 | Count Reward Weak: 33 | Count Reward Moderate: 40 | Count Reward Strong: 59
Segment: 18 | Count: 250 | Total Reward: 85.63 | Count Reward Weak: 53 | Count Reward Moderate: 42 | Count Reward Strong: 40
Segment: 19 | Count: 250 | Total Reward: 85.63 | Count Reward Weak: 46 | Count Reward Moderate: 35 | Count Reward Strong: 47
Segment: 20 | Count: 250 | Total Reward: 89.28 | Count Reward Weak: 54 | Count Reward Moderate: 38 | Count Reward Strong: 46
Segment: 21 | Count: 250 | Total Reward: 79.9 | Count Reward Weak: 57 | Count Reward Moderate: 27 | Count Reward Strong: 43
Segment: 22 | Count: 250 | Total Reward: 79.61 | Count Reward Weak: 48 | Count Reward Moderate: 31 | Count Reward Strong: 43
Segment: 23 | Count: 250 | Total Reward: 81.28 | Count Reward Weak: 49 | Count Reward Moderate: 33 | Count Reward Strong: 43
Segment: 24 | Count: 250 | Total Reward: 86.95 | Count Reward Weak: 51 | Count Reward Moderate: 36 | Count Reward Strong: 46
Segment: 25 | Count: 250 | Total Reward: 81.97 | Count Reward Weak: 41 | Count Reward Moderate: 32 | Count Reward Strong: 47
Segment: 26 | Count: 250 | Total Reward: 84.92 | Count Reward Weak: 58 | Count Reward Moderate: 34 | Count Reward Strong: 43
Segment: 27 | Count: 250 | Total Reward: 83.66 | Count Reward Weak: 41 | Count Reward Moderate: 39 | Count Reward Strong: 44
Segment: 28 | Count: 250 | Total Reward: 96.64 | Count Reward Weak: 50 | Count Reward Moderate: 42 | Count Reward Strong: 52
Segment: 29 | Count: 250 | Total Reward: 91.58 | Count Reward Weak: 55 | Count Reward Moderate: 29 | Count Reward Strong: 54
Segment: 30 | Count: 250 | Total Reward: 71.96 | Count Reward Weak: 50 | Count Reward Moderate: 38 | Count Reward Strong: 30
Segment: 31 | Count: 250 | Total Reward: 72.01 | Count Reward Weak: 39 | Count Reward Moderate: 42 | Count Reward Strong: 31
Segment: 32 | Count: 250 | Total Reward: 68.26 | Count Reward Weak: 50 | Count Reward Moderate: 28 | Count Reward Strong: 33
Segment: 33 | Count: 250 | Total Reward: 90.65 | Count Reward Weak: 52 | Count Reward Moderate: 47 | Count Reward Strong: 42
Segment: 34 | Count: 250 | Total Reward: 87.31 | Count Reward Weak: 41 | Count Reward Moderate: 34 | Count Reward Strong: 51
Segment: 35 | Count: 250 | Total Reward: 82.32 | Count Reward Weak: 39 | Count Reward Moderate: 35 | Count Reward Strong: 46
Segment: 36 | Count: 250 | Total Reward: 75.91 | Count Reward Weak: 50 | Count Reward Moderate: 23 | Count Reward Strong: 44
Segment: 37 | Count: 250 | Total Reward: 91.69 | Count Reward Weak: 40 | Count Reward Moderate: 47 | Count Reward Strong: 47
Segment: 38 | Count: 250 | Total Reward: 87.99 | Count Reward Weak: 48 | Count Reward Moderate: 45 | Count Reward Strong: 42
Segment: 39 | Count: 250 | Total Reward: 93.98 | Count Reward Weak: 47 | Count Reward Moderate: 41 | Count Reward Strong: 51
Segment: 40 | Count: 250 | Total Reward: 93.97 | Count Reward Weak: 53 | Count Reward Moderate: 44 | Count Reward Strong: 47
Segment: 41 | Count: 250 | Total Reward: 93.61 | Count Reward Weak: 49 | Count Reward Moderate: 32 | Count Reward Strong: 56
