Segment: 1 | Count: 500 | Total Reward: 127.67 | Count Reward Weak: 63 | Count Reward Moderate: 64 | Count Reward Strong: 64
Segment: 2 | Count: 500 | Total Reward: 95.63 | Count Reward Weak: 59 | Count Reward Moderate: 48 | Count Reward Strong: 44
Segment: 3 | Count: 500 | Total Reward: 121.94 | Count Reward Weak: 91 | Count Reward Moderate: 73 | Count Reward Strong: 43
Segment: 4 | Count: 500 | Total Reward: 143.59 | Count Reward Weak: 80 | Count Reward Moderate: 57 | Count Reward Strong: 79
Segment: 5 | Count: 500 | Total Reward: 158.72 | Count Reward Weak: 76 | Count Reward Moderate: 92 | Count Reward Strong: 72
Segment: 6 | Count: 500 | Total Reward: 147.6 | Count Reward Weak: 91 | Count Reward Moderate: 71 | Count Reward Strong: 70
Segment: 7 | Count: 500 | Total Reward: 123.58 | Count Reward Weak: 85 | Count Reward Moderate: 59 | Count Reward Strong: 56
Segment: 8 | Count: 500 | Total Reward: 132.99 | Count Reward Weak: 71 | Count Reward Moderate: 68 | Count Reward Strong: 64
Segment: 9 | Count: 500 | Total Reward: 149.67 | Count Reward Weak: 68 | Count Reward Moderate: 69 | Count Reward Strong: 81
Segment: 10 | Count: 500 | Total Reward: 134.69 | Count Reward Weak: 56 | Count Reward Moderate: 63 | Count Reward Strong: 74
Segment: 11 | Count: 500 | Total Reward: 152.32 | Count Reward Weak: 73 | Count Reward Moderate: 69 | Count Reward Strong: 82
Segment: 12 | Count: 500 | Total Reward: 138.67 | Count Reward Weak: 64 | Count Reward Moderate: 65 | Count Reward Strong: 74
Segment: 13 | Count: 500 | Total Reward: 134.26 | Count Reward Weak: 80 | Count Reward Moderate: 58 | Count Reward Strong: 69
Segment: 14 | Count: 500 | Total Reward: 170.7 | Count Reward Weak: 73 | Count Reward Moderate: 83 | Count Reward Strong: 91
Segment: 15 | Count: 500 | Total Reward: 152.28 | Count Reward Weak: 94 | Count Reward Moderate: 78 | Count Reward Strong: 69
Segment: 16 | Count: 500 | Total Reward: 149.24 | Count Reward Weak: 95 | Count Reward Moderate: 67 | Count Reward Strong: 73
Segment: 17 | Count: 500 | Total Reward: 128.64 | Count Reward Weak: 74 | Count Reward Moderate: 66 | Count Reward Strong: 60
Segment: 18 | Count: 500 | Total Reward: 141.32 | Count Reward Weak: 79 | Count Reward Moderate: 75 | Count Reward Strong: 65
Segment: 19 | Count: 500 | Total Reward: 129.96 | Count Reward Weak: 90 | Count Reward Moderate: 78 | Count Reward Strong: 48
Segment: 20 | Count: 500 | Total Reward: 153.36 | Count Reward Weak: 85 | Count Reward Moderate: 93 | Count Reward Strong: 63
